15718	48	77	2640
15724	83	1793	2640
14103	0	433	2640
2859	0	15740	2640
6721	43	694	2640
15480	31	106	2640
6	66	8418	2640
219	2	15731	2640
2056	19	57	2640
191	5	15714	2640
54	2	15727	2640
202	1	296	2640
15713	19	15712	2640
14924	32	63	2640
1299	1	15693	2640
11141	29	15732	2640
2859	0	15740	2640
2055	28	15654	2640
15738	0	1283	2640
15702	13	4966	2640
8660	1	684	2640
14103	0	433	2640
15375	32	122	2640
122	31	15375	2640
347	1	817	2640
202	1	296	2640
15697	2	3251	2640
15725	104	80	2640
15737	0	1428	2640
1832	9	13195	2640
15705	40	4207	2640
9915	76	1522	2640
1522	76	9915	2640
19	5	15735	2640
1746	6	1521	2640
15718	48	77	2640
2074	47	5678	2640
15724	83	1793	2640
15729	8	3641	2640
116	31	10452	2640
9566	50	2569	2640
5678	47	2074	2640
5398	1	13912	2640
15671	2	8583	2640
524	8	10457	2640
10452	32	116	2640
15706	142	2867	2640
2473	13	15722	2640
8660	1	684	2640
1063	47	3097	2640
2055	28	15654	2640
466	0	4189	2640
11463	104	15704	2640
15733	17	866	2640
9781	40	4207	2640
3097	47	1063	2640
11463	104	15704	2640
6721	43	694	2640
15234	19	3178	2640
7185	76	2854	2640
1832	9	13195	2640
8583	28	15671	2640
1800	50	787	2640
125	28	42	2640
6222	13	11141	2640
1971	29	2798	2640
19	72	42	2640
4332	5	754	2640
15564	0	1611	2640
6822	47	11103	2640
8407	5	8406	2640
15706	142	2867	2640
15722	2	2473	2640
1755	34	201	2640
14533	0	849	2640
15706	20	12730	2640
15715	40	15716	2640
15711	0	3000	2640
10220	47	14142	2640
12730	2	15701	2640
731	0	732	2640
19	69	122	2640
1825	13	97	2640
2999	0	8227	2640
15709	2	15708	2640
11103	47	6822	2640
15538	0	3755	2640
15697	2	15698	2640
14142	47	10220	2640
15719	0	15720	2640
1437	47	906	2640
5678	47	2074	2640
15729	8	3641	2640
12283	22	2473	2640
513	8	15700	2640
2185	47	12524	2640
906	47	1437	2640
15310	149	179	2640
6222	19	11141	2640
1068	82	26	2640
46	69	116	2640
1261	28	187	2640
12943	32	4396	2640
15715	40	15716	2640
6822	47	11103	2640
5355	0	319	2640
1261	28	187	2640
19	43	382	2640
12283	14	15702	2640
14724	8	4456	2640
15713	19	57	2640
3387	47	10307	2640
10220	47	14142	2640
15059	149	3220	2640
374	20	1410	2640
15593	13	8582	2640
9566	50	2569	2640
11103	47	6822	2640
15671	2	8583	2640
2092	2	9	2640
19	38	382	2640
496	8	285	2640
1063	47	3097	2640
8407	5	8406	2640
1299	112	15693	2640
4396	31	12943	2640
2999	0	8227	2640
463	0	9781	2640
14724	8	4456	2640
14142	47	10220	2640
2074	47	5678	2640
172	2	171	2640
1626	38	3938	2640
539	0	6201	2640
8	5	9	2640
15234	162	10524	2640
375	5	374	2640
97	2	198	2640
7470	0	28	2640
15697	2	3251	2640
802	41	219	2640
15059	149	3220	2640
6097	136	6098	2640
1971	5	2798	2640
46	69	116	2640
906	6	15474	2568
22	20	15470	2568
3398	2	15454	2568
3734	0	15482	2568
10414	5	207	2568
248	28	15523	2568
15426	5	431	2568
15472	31	2879	2568
2879	32	15472	2568
3113	52	13110	2568
6801	47	15492	2568
15521	23	2495	2568
1857	15	15419	2568
15450	1	1263	2568
458	5	15490	2568
14783	22	15507	2568
15492	47	6801	2568
987	147	15433	2568
11	0	15441	2568
2216	47	2256	2568
342	47	14651	2568
3410	5	296	2568
2256	47	2216	2568
15488	31	106	2568
106	32	15488	2568
2709	47	15455	2568
15453	31	9112	2568
15455	47	2709	2568
15477	15	25	2568
15469	2	2241	2568
14651	47	342	2568
10376	0	1276	2568
15504	1	2143	2568
5854	99	1270	2568
79	20	10655	2568
15456	0	1793	2568
15501	19	57	2568
544	0	11706	2568
6098	8	15512	2568
15501	28	14061	2568
15429	59	17	2568
870	41	694	2568
17	59	15429	2568
15496	8	28	2568
1186	43	15486	2568
15331	0	1729	2568
408	1	8693	2568
1621	13	579	2568
999	5	15447	2568
15440	47	3093	2568
999	5	15447	2568
694	41	870	2568
14221	74	66	2568
10727	175	6547	2568
77	31	15522	2568
564	115	15437	2568
787	47	15500	2568
583	2	14468	2568
6	25	4246	2568
2736	47	15285	2568
106	47	7004	2568
15285	47	2736	2568
230	2	1334	2568
489	1	15337	2568
7840	0	568	2568
15522	32	77	2568
5975	32	11014	2568
5843	5	12408	2568
11014	31	5975	2568
14912	0	4710	2568
15455	47	2709	2568
1131	47	10932	2568
234	0	13021	2568
12014	25	106	2568
2709	47	15455	2568
15509	0	4210	2568
5150	0	3000	2568
4622	17	4158	2568
14061	2	15501	2568
4296	5	9444	2568
1248	28	84	2568
15500	47	787	2568
66	74	1543	2568
431	6	15210	2568
19	69	122	2568
3793	0	661	2568
3385	0	982	2568
10357	59	3975	2568
3834	28	15211	2568
10932	47	1131	2568
53	17	15484	2568
290	0	15494	2568
106	25	12014	2568
15439	20	845	2568
